ds;y;;;
2022-01-09;3;;;
2022-01-16;1;;;
2022-01-22;1;;;
2022-01-27;3;;;
2022-01-28;1;;;
2022-01-30;3;;;
2022-01-31;1;;;
2022-02-01;9;;;
2022-02-02;5;;;
2022-02-03;1;;;
2022-02-07;3;;;
2022-02-08;2;;;
2022-02-09;6;;;
2022-02-10;23;;;
2022-02-11;36;;;
2022-02-12;31;;;
2022-02-13;30;;;
2022-02-14;62;;;
2022-02-15;71;;;
2022-02-16;51;;;
2022-02-17;34;;;
2022-02-18;16;;;
2022-02-19;26;;;
2022-02-20;39;;;
2022-02-21;36;;;
2022-02-22;65;;;
2022-02-23;43;;;
2022-02-24;38;;;
2022-02-25;13;;;
2022-02-26;14;;;
2022-02-27;12;;;
2022-02-28;30;;;
2022-03-01;22;;;
2022-03-02;23;;;
2022-03-03;58;;;
2022-03-04;38;;;
2022-03-05;49;;;
2022-03-06;42;;;
2022-03-07;47;;;
2022-03-08;87;;;
2022-03-09;117;;;
2022-03-10;48;;;
2022-03-11;79;;;
2022-03-12;99;;;
2022-03-13;147;;;
2022-03-14;53;;;
2022-03-15;44;;;
2022-03-16;40;;;
2022-03-17;34;;;
2022-03-18;33;;;
2022-03-19;60;;;
2022-03-20;82;;;
2022-03-21;121;;;
2022-03-22;70;;;
2022-03-23;55;;;
2022-03-24;63;;;
2022-03-25;22;;;
2022-03-26;21;;;
2022-03-27;56;;;
2022-03-28;65;;;
2022-03-29;50;;;
2022-03-30;74;;;
2022-03-31;46;;;
2022-04-01;41;;;
2022-04-02;75;;;
2022-04-03;55;;;
2022-04-04;79;;;
2022-04-05;69;;;
2022-04-06;46;;;
2022-04-07;37;;;
2022-04-08;39;;;
2022-04-09;40;;;
2022-04-10;42;;;
2022-04-11;73;;;
2022-04-12;59;;;
2022-04-13;52;;;
2022-04-14;33;;;
2022-04-15;14;;;
2022-04-16;21;;;
2022-04-17;36;;;
2022-04-18;82;;;
2022-04-19;73;;;
2022-04-20;63;;;
2022-04-21;52;;;
2022-04-22;38;;;
2022-04-23;48;;;
2022-04-24;26;;;
2022-04-25;75;;;
2022-04-26;99;;;
2022-04-27;70;;;
2022-04-28;41;;;
2022-04-29;26;;;
2022-04-30;40;;;
2022-05-01;51;;;
2022-05-02;78;;;
2022-05-03;58;;;
2022-05-04;59;;;
2022-05-05;26;;;
2022-05-06;18;;;
2022-05-07;30;;;
2022-05-08;35;;;
2022-05-09;58;;;
2022-05-10;43;;;
2022-05-11;83;;;
2022-05-12;68;;;
2022-05-13;39;;;
2022-05-14;24;;;
2022-05-15;31;;;
2022-05-16;45;;;
2022-05-17;87;;;
2022-05-18;168;;;
2022-05-19;50;;;
2022-05-20;64;;;
2022-05-21;23;;;
2022-05-22;30;;;
2022-05-23;58;;;
2022-05-24;40;;;
2022-05-25;70;;;
2022-05-26;69;;;
2022-05-27;32;;;
2022-05-28;20;;;
2022-05-29;34;;;
2022-05-30;52;;;
2022-05-31;61;;;
2022-06-01;114;;;
2022-06-02;58;;;
2022-06-03;25;;;
2022-06-04;18;;;
2022-06-05;34;;;
2022-06-06;39;;;
2022-06-07;46;;;
2022-06-08;27;;;
2022-06-09;20;;;
2022-06-10;33;;;
2022-06-11;33;;;
2022-06-12;45;;;
2022-06-13;40;;;
2022-06-14;29;;;
2022-06-15;32;;;
2022-06-16;39;;;
2022-06-17;35;;;
2022-06-18;32;;;
2022-06-19;25;;;
2022-06-20;37;;;
2022-06-21;46;;;
2022-06-22;44;;;
2022-06-23;80;;;
2022-06-24;24;;;
2022-06-25;26;;;
2022-06-26;26;;;
2022-06-27;52;;;
2022-06-28;48;;;
2022-06-29;45;;;
2022-06-30;49;;;
2022-07-01;61;;;
2022-07-02;28;;;
2022-07-03;32;;;
2022-07-04;69;;;
2022-07-05;63;;;
2022-07-06;59;;;
2022-07-07;42;;;
2022-07-08;32;;;
2022-07-09;43;;;
2022-07-10;49;;;
2022-07-11;59;;;
2022-07-12;48;;;
2022-07-13;45;;;
2022-07-14;63;;;
2022-07-15;34;;;
2022-07-16;26;;;
2022-07-17;38;;;
2022-07-18;70;;;
2022-07-19;32;;;
2022-07-20;45;;;
2022-07-21;59;;;
2022-07-22;16;;;
2022-07-23;36;;;
2022-07-24;34;;;
2022-07-25;34;;;
2022-07-26;39;;;
2022-07-27;30;;;
2022-07-28;18;;;
2022-07-29;17;;;
2022-07-30;23;;;
2022-07-31;37;;;
2022-08-01;23;;;
2022-08-02;59;;;
2022-08-03;25;;;
2022-08-04;29;;;
2022-08-05;19;;;
2022-08-06;43;;;
2022-08-07;42;;;
2022-08-08;52;;;
2022-08-09;62;;;
2022-08-10;78;;;
2022-08-11;35;;;
2022-08-12;47;;;
2022-08-13;47;;;
2022-08-14;25;;;
2022-08-15;53;;;
2022-08-16;46;;;
2022-08-17;37;;;
2022-08-18;69;;;
2022-08-19;46;;;
2022-08-20;24;;;
2022-08-21;36;;;
2022-08-22;74;;;
2022-08-23;83;;;
2022-08-24;63;;;
2022-08-25;49;;;
2022-08-26;21;;;
2022-08-27;27;;;
2022-08-28;62;;;
2022-08-29;65;;;
2022-08-30;69;;;
2022-08-31;46;;;
2022-09-01;52;;;
2022-09-02;47;;;
2022-09-03;35;;;
2022-09-04;42;;;
2022-09-05;138;;;
2022-09-06;50;;;
2022-09-07;64;;;
2022-09-08;65;;;
2022-09-09;51;;;
2022-09-10;49;;;
2022-09-11;51;;;
2022-09-12;70;;;
2022-09-13;55;;;
2022-09-14;47;;;
2022-09-15;40;;;
2022-09-16;25;;;
2022-09-17;22;;;
2022-09-18;16;;;
2022-09-19;22;;;
2022-09-20;58;;;
2022-09-21;70;;;
2022-09-22;52;;;
2022-09-23;44;;;
2022-09-24;54;;;
2022-09-25;55;;;
2022-09-26;55;;;
2022-09-27;57;;;
2022-09-28;90;;;
2022-09-29;94;;;
2022-09-30;38;;;
2022-10-01;34;;;
2022-10-02;70;;;
2022-10-03;102;;;
2022-10-04;77;;;
2022-10-05;96;;;
2022-10-06;41;;;
2022-10-07;50;;;
2022-10-08;52;;;
2022-10-09;31;;;
2022-10-10;35;;;
2022-10-11;61;;;
2022-10-12;39;;;
2022-10-13;54;;;
2022-10-14;51;;;
2022-10-15;46;;;
2022-10-16;72;;;
2022-10-17;93;;;
2022-10-18;75;;;
2022-10-19;46;;;
2022-10-20;71;;;
2022-10-21;25;;;
2022-10-22;34;;;
2022-10-23;51;;;
2022-10-24;71;;;
2022-10-25;76;;;
2022-10-26;63;;;
2022-10-27;52;;;
2022-10-28;59;;;
2022-10-29;64;;;
2022-10-30;21;;;
2022-10-31;41;;;
2022-11-01;60;;;
2022-11-02;134;;;
2022-11-03;61;;;
2022-11-04;48;;;
2022-11-05;35;;;
2022-11-06;34;;;
2022-11-07;64;;;
2022-11-08;57;;;
2022-11-09;47;;;
2022-11-10;56;;;
2022-11-11;28;;;
2022-11-12;40;;;
2022-11-13;33;;;
2022-11-14;66;;;
2022-11-15;78;;;
2022-11-16;104;;;
2022-11-17;86;;;
2022-11-18;51;;;
2022-11-19;56;;;
2022-11-20;68;;;
2022-11-21;86;;;
2022-11-22;92;;;
2022-11-23;93;;;
2022-11-24;47;;;
2022-11-25;80;;;
2022-11-26;91;;;
2022-11-27;156;;;
2022-11-28;160;;;
2022-11-29;129;;;
2022-11-30;92;;;
2022-12-01;79;;;
2022-12-02;71;;;
2022-12-03;100;;;
2022-12-04;132;;;
2022-12-05;183;;;
2022-12-06;150;;;
2022-12-07;137;;;
2022-12-08;114;;;
2022-12-09;106;;;
2022-12-10;125;;;
2022-12-11;148;;;
2022-12-12;199;;;
2022-12-13;192;;;
2022-12-14;161;;;
2022-12-15;111;;;
2022-12-16;106;;;
2022-12-17;128;;;
2022-12-18;121;;;
2022-12-19;139;;;
2022-12-20;102;;;
2022-12-21;107;;;
2022-12-22;74;;;
2022-12-23;49;;;
2022-12-24;74;;;
2022-12-25;86;;;
2022-12-26;123;;;
2022-12-27;64;;;
2022-12-28;105;;;
2022-12-29;75;;;
2022-12-30;95;;;
2022-12-31;70;;;
